fold_idx,shrinkage,train_end_idx,in_sample_sharpe,oos_sharpe
0,0.1,80,2.6705,2.4571
1,0.1,88,2.7278,1.2067
2,0.1,96,2.5761,1.9190
3,0.1,104,2.7321,2.3769
4,0.1,112,2.5320,2.0836
5,0.1,120,2.5775,5.9341
0,0.3,80,2.6089,2.6478
1,0.3,88,2.7310,1.1579
2,0.3,96,2.5395,2.0257
3,0.3,104,2.6526,2.3455
4,0.3,112,2.5317,2.1243
5,0.3,120,2.5402,5.8967
0,0.5,80,2.5500,3.3674
1,0.5,88,2.7302,1.1784
2,0.5,96,2.5187,2.1618
3,0.5,104,2.5644,2.5731
4,0.5,112,2.5256,2.0881
5,0.5,120,2.5259,5.8191
0,0.7,80,2.6497,2.4943
1,0.7,88,2.5931,1.1059
2,0.7,96,2.4927,2.1990
3,0.7,104,2.5504,2.5051
4,0.7,112,2.4796,2.0101
5,0.7,120,2.5064,5.7508
0,1.0,80,2.5735,3.1272
1,1.0,88,2.5855,1.1955
2,1.0,96,2.4781,2.2266
3,1.0,104,2.4572,2.5712
4,1.0,112,2.5056,2.1098
5,1.0,120,2.4947,5.6818
